"CRASH_ID","UNIT_NBR","PRSN_NBR","CHARGE","CITATION_NBR"
14843152,1,1,"DRIVING WHILE INTOXICATED","HC160001071"
14843169,1,1,"UNSAFE SPEED","000727665"
14843193,1,1,"NO LIABILITY INSURANCE","M001283"
14843193,1,1,"NO OPERATORS LIC","M001283"
14843202,2,1,"RAN STOP SIGN","L24263"
14843205,1,1,"DRIVING WHILE LICENSE INVALID","16-123"
14843205,1,1,"FAIL TO STOP ID UNATTENDED VEHICLE","16-123"
14843205,1,1,"DRIVING WHILE INTOXICATED","16-123"
14843214,1,1,"DRIVING WHILE INTOXICATED","16-002001"
14843230,1,1,"TURNED WHEN UNSAFE","049843"
14843233,1,1,"FAIL TO DRIVE IN SINGLE LANE","138197272"
14843236,1,1,"UNSAFE SPEED","TX4IF50UUM32"
14843238,1,1,"FAIL TO CONTROL SPEED","S917282"
14843246,1,1,"FAIL TO CONTROL SPEED","SUMMONS"
14843247,1,1,"FAIL TO CONTROL SPEED","138200352"
14843247,1,1,"FAILURE TO DISPLAY TDL UPON DEMAND","138200352"
14843254,1,1,"RAN RED LIGHT (ACCIDENT)","137771855"
14843260,1,1,"FAILED TO DRIVE IN SINGLE LANE","138516445"
14843260,1,1,"EXPIRED VEHICLE INSURANCE (12/28/2015)","138516445"
14843260,1,1,"EXPIRED VEHICLE REGISTRATION (10/2015)","138516445"
14843268,1,1,"FAILED TO YIELD ROW-TURNING LEFT","138548365"
14843283,1,1,"NO OR EXP OPERATORS LICENSE","MUNI COMP"
14843283,1,1,"ACCIDENT INVOLVING DAMAGE TO VEH","MUNI COMP"
14843283,1,1,"FTMFR","MUNI COMP"
14843289,1,1,"FAIL TO MAINTAIN FINANCIAL RESPONSIBILITY (FMFR)","000738200-1"
14843289,1,1,"FAIL TO DRIVE IN SINGLE LANE","000738200-3"
14843289,1,1,"NO VALID DL-UNLICENSED","000738200-2"
14843289,2,1,"FAIL TO MAINTAIN FINANCIAL RESPONSIBILITY (FMFR)","000738876"
14843298,1,1,"FAIL TO CONTROL SPEED","19903483"
14843300,1,1,"STOOD ON/NEAR ST/HWY -SOLICIT GUARD VEHICLE","60125902"
14843301,1,1,"TURNED WHEN UNSAFE","60037040"
14843327,1,1,"FAILED TO GIVE ONE-HALF OF ROADWAY","10008673"
14843341,1,1,"FAIL TO CONTROL SPEED","SUMMONS"
14843420,1,1,"DRIVING WHILE INTOXICATED 2ND",""
14843492,2,1,"FAIL TO MAINT FINANCIAL RESPONSIBILITY","1540763"
14843518,1,1,"FAIL TO YIELD ROW-LEFT TURN","114952"
14843565,1,1,"FAIL TO CONTROL SPEED","000632516"
14843946,1,1,"CHANGE LANES WHEN UNSAFE","416963"
